movie_title,similar_movie_title,similarity_score,rank
Batman v Superman: Dawn of Justice,Kick-Ass 2,0.4765565097332001,10
Superman Returns,Superman IV: The Quest for Peace,0.6814011931419373,1
Superman Returns,Superman,0.6146512627601624,2
Superman Returns,Superman II,0.5948596596717834,3
Superman Returns,Super,0.5188918709754944,4
Superman Returns,Megamind,0.48073118925094604,5
Superman Returns,"Batman: The Dark Knight Returns, Part 2",0.4773974120616913,6
Superman Returns,Superman III,0.44058889150619507,7
Superman Returns,Batman v Superman: Dawn of Justice,0.4366115927696228,8
Superman Returns,Spider-Man 2,0.4177721440792084,9
Superman Returns,Batman,0.4163760840892792,10
Quantum of Solace,Octopussy,0.5764613747596741,1
Quantum of Solace,From Russia with Love,0.561765193939209,2
Quantum of Solace,Dr. No,0.5601015686988831,3
Quantum of Solace,Licence to Kill,0.5491305589675903,4
Quantum of Solace,Never Say Never Again,0.5303165912628174,5
Quantum of Solace,Spectre,0.5134983062744141,6
Quantum of Solace,GoldenEye,0.5000430941581726,7
Quantum of Solace,The Living Daylights,0.4978078305721283,8
Quantum of Solace,Diamonds Are Forever,0.4964122176170349,9
Quantum of Solace,Paper Towns,0.46594229340553284,10
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: On Stranger Tides,0.6200924515724182,1
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: The Curse of the Black Pearl,0.5508948564529419,2
Pirates of the Caribbean: Dead Man's Chest,The Number 23,0.515070915222168,3
Pirates of the Caribbean: Dead Man's Chest,The Pirates! In an Adventure with Scientists!,0.4692709147930145,4
Pirates of the Caribbean: Dead Man's Chest,Futuro Beach,0.43934839963912964,5
Pirates of the Caribbean: Dead Man's Chest,Last Orders,0.438774049282074,6
Pirates of the Caribbean: Dead Man's Chest,Small Apartments,0.42318907380104065,7
Pirates of the Caribbean: Dead Man's Chest,The Family Man,0.42015138268470764,8
Pirates of the Caribbean: Dead Man's Chest,Room,0.4132901132106781,9
Pirates of the Caribbean: Dead Man's Chest,Ghost Rider,0.4050750136375427,10
The Lone Ranger,The Legend of the Lone Ranger,0.5862569808959961,1
The Lone Ranger,Lone Wolf McQuade,0.5811846256256104,2
The Lone Ranger,Man of the House,0.5299174189567566,3
The Lone Ranger,American Outlaws,0.5175666213035583,4
The Lone Ranger,Silverado,0.5054692625999451,5
The Lone Ranger,The Legend of Hell's Gate: An American Conspiracy,0.5010051131248474,6
The Lone Ranger,Black Hawk Down,0.4846297800540924,7
The Lone Ranger,Texas Rangers,0.47754421830177307,8
The Lone Ranger,Major Dundee,0.46943986415863037,9
The Lone Ranger,Young Guns,0.4636992812156677,10
Man of Steel,The Polar Express,0.5995934009552002,1
Man of Steel,Ong Bak 2,0.5893628001213074,2
Man of Steel,Letters to God,0.56380295753479,3
Man of Steel,Sky High,0.5600537061691284,4
Man of Steel,Stardust,0.5554822683334351,5
Man of Steel,Little Boy,0.5451024770736694,6
Man of Steel,Percy Jackson & the Olympians: The Lightning Thief,0.537781834602356,7
Man of Steel,Tomorrowland,0.5320948958396912,8
Man of Steel,Thor,0.521338701248169,9
Man of Steel,The Last Airbender,0.5003417134284973,10
The Chronicles of Narnia: Prince Caspian,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0.7356573343276978,1
The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: The Voyage of the Dawn Treader,0.5737712383270264,2
The Chronicles of Narnia: Prince Caspian,Epic Movie,0.5424543023109436,3
The Chronicles of Narnia: Prince Caspian,Dragonslayer,0.49097466468811035,4
The Chronicles of Narnia: Prince Caspian,The Tale of Despereaux,0.4727211892604828,5
The Chronicles of Narnia: Prince Caspian,The Smurfs 2,0.45178815722465515,6
The Chronicles of Narnia: Prince Caspian,Stuart Little,0.444137841463089,7
The Chronicles of Narnia: Prince Caspian,Queen of the Damned,0.4397631287574768,8
The Chronicles of Narnia: Prince Caspian,Hansel & Gretel: Witch Hunters,0.4396955072879791,9
The Chronicles of Narnia: Prince Caspian,The Spiderwick Chronicles,0.4387308359146118,10
The Avengers,Avengers: Age of Ultron,0.5797141194343567,1
The Avengers,Safe House,0.5377549529075623,2
The Avengers,Captain America: The Winter Soldier,0.5335581302642822,3
The Avengers,Tomorrow Never Dies,0.5195184946060181,4
The Avengers,"War, Inc.",0.5000689625740051,5
The Avengers,Resident Evil,0.49529528617858887,6
The Avengers,The Art of War,0.4798312783241272,7
The Avengers,Act of Valor,0.4780448377132416,8
The Avengers,The Bodyguard,0.4632984697818756,9
The Avengers,RED,0.4624664783477783,10
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: The Curse of the Black Pearl,0.7710782289505005,1
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: Dead Man's Chest,0.6200924515724182,2
Pirates of the Caribbean: On Stranger Tides,The Pirates! In an Adventure with Scientists!,0.5986640453338623,3
Pirates of the Caribbean: On Stranger Tides,The Pirate,0.4976719915866852,4
Pirates of the Caribbean: On Stranger Tides,The Family Man,0.4924071729183197,5
Pirates of the Caribbean: On Stranger Tides,VeggieTales: The Pirates Who Don't Do Anything,0.485069215297699,6
Pirates of the Caribbean: On Stranger Tides,The Number 23,0.47805526852607727,7
Pirates of the Caribbean: On Stranger Tides,Master and Commander: The Far Side of the World,0.46733641624450684,8
Pirates of the Caribbean: On Stranger Tides,Shakespeare in Love,0.4668813645839691,9
Pirates of the Caribbean: On Stranger Tides,Six Days Seven Nights,0.4626459777355194,10
Men in Black 3,Men in Black,0.4826662242412567,1
Men in Black 3,The Dead Zone,0.4598689079284668,2
Men in Black 3,From Paris with Love,0.44519680738449097,3
Men in Black 3,Mr. & Mrs. Smith,0.4407760500907898,4
Men in Black 3,Inspector Gadget,0.439511239528656,5
Men in Black 3,Get Smart,0.43931519985198975,6
Men in Black 3,Ballistic: Ecks vs. Sever,0.43909984827041626,7
Men in Black 3,Time Changer,0.43554195761680603,8
Men in Black 3,Terminator Salvation,0.42476773262023926,9
Men in Black 3,Lockout,0.42471280694007874,10
The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,0.6063664555549622,1
The Hobbit: The Battle of the Five Armies,The Hobbit: An Unexpected Journey,0.5656877160072327,2
The Hobbit: The Battle of the Five Armies,The Lord of the Rings: The Two Towers,0.4992823302745819,3
The Hobbit: The Battle of the Five Armies,Dragon Nest: Warriors' Dawn,0.46376368403434753,4
The Hobbit: The Battle of the Five Armies,The Lord of the Rings: The Fellowship of the Ring,0.4598390460014343,5
The Hobbit: The Battle of the Five Armies,The Lord of the Rings: The Return of the King,0.42895057797431946,6
The Hobbit: The Battle of the Five Armies,Jack the Giant Slayer,0.41878268122673035,7
The Hobbit: The Battle of the Five Armies,Warcraft,0.41753077507019043,8
The Hobbit: The Battle of the Five Armies,Hellboy II: The Golden Army,0.4104740023612976,9
The Hobbit: The Battle of the Five Armies,Time Bandits,0.4102359414100647,10
The Amazing Spider-Man,The Amazing Spider-Man 2,0.7255027890205383,1
The Amazing Spider-Man,Spider-Man,0.6538397669792175,2
The Amazing Spider-Man,Spider-Man 2,0.6482858061790466,3
The Amazing Spider-Man,Spider-Man 3,0.561382532119751,4
The Amazing Spider-Man,Due Date,0.5028495788574219,5
The Amazing Spider-Man,Hook,0.48089390993118286,6
The Amazing Spider-Man,In the Land of Women,0.4512453079223633,7
The Amazing Spider-Man,Tin Can Man,0.4467436671257019,8
The Amazing Spider-Man,Pan,0.42530426383018494,9
The Amazing Spider-Man,Megamind,0.4246465563774109,10
Robin Hood,Robin Hood: Prince of Thieves,0.6330642700195312,1
Robin Hood,Robin and Marian,0.5222374796867371,2
Robin Hood,Rob Roy,0.4916393756866455,3
Robin Hood,Dead Man's Shoes,0.47801128029823303,4
Robin Hood,From a Whisper to a Scream,0.4602271616458893,5
Robin Hood,Forsaken,0.4565655589103699,6
Robin Hood,Assassins,0.4465213418006897,7
Robin Hood,World's Greatest Dad,0.43216410279273987,8
Robin Hood,Hell's Angels,0.4284815788269043,9
Robin Hood,Cold Mountain,0.4283522069454193,10
The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,0.6422183513641357,1
The Hobbit: The Desolation of Smaug,The Hobbit: The Battle of the Five Armies,0.6063664555549622,2
The Hobbit: The Desolation of Smaug,The Lord of the Rings: The Fellowship of the Ring,0.5552572011947632,3
The Hobbit: The Desolation of Smaug,The Lord of the Rings: The Two Towers,0.5089422464370728,4
The Hobbit: The Desolation of Smaug,The Lord of the Rings: The Return of the King,0.48692891001701355,5
The Hobbit: The Desolation of Smaug,The Smurfs,0.38362473249435425,6
The Hobbit: The Desolation of Smaug,Mirror Mirror,0.3513318598270416,7
The Hobbit: The Desolation of Smaug,Dragon Nest: Warriors' Dawn,0.34118789434432983,8
The Hobbit: The Desolation of Smaug,Ace Ventura: When Nature Calls,0.3261863589286804,9
The Hobbit: The Desolation of Smaug,George and the Dragon,0.32487592101097107,10
The Golden Compass,The Twilight Saga: Eclipse,0.5003582835197449,1
The Golden Compass,Pan's Labyrinth,0.4997427463531494,2
The Golden Compass,Antibirth,0.4908844232559204,3
The Golden Compass,My Girl,0.49064525961875916,4
The Golden Compass,Winter's Bone,0.48619571328163147,5
The Golden Compass,Twilight,0.48258984088897705,6
The Golden Compass,Blue Jasmine,0.48242172598838806,7
The Golden Compass,Safe Haven,0.47871413826942444,8
The Golden Compass,Bound,0.4784516990184784,9
The Golden Compass,Come Early Morning,0.4765399396419525,10
King Kong,"The Beast from 20,000 Fathoms",0.4170618951320648,1
King Kong,The Adventures of Huck Finn,0.4135913550853729,2
King Kong,Godzilla 2000,0.41084110736846924,3
King Kong,Jaws,0.4060964584350586,4
King Kong,Lake Placid,0.40424028038978577,5
King Kong,Anaconda,0.40021395683288574,6
King Kong,Me and Orson Welles,0.39839303493499756,7
King Kong,Clerks II,0.3979174792766571,8
King Kong,The Naked Ape,0.39736407995224,9
King Kong,Teenage Mutant Ninja Turtles: Out of the Shadows,0.3850960433483124,10
Titanic,The Greatest,0.43186166882514954,1
Titanic,The Chambermaid on the Titanic,0.42419952154159546,2
Titanic,Event Horizon,0.4067773222923279,3
Titanic,Raise the Titanic,0.3971193730831146,4
Titanic,All Is Lost,0.3970542550086975,5
Titanic,Vessel,0.3911055624485016,6
Titanic,Triangle,0.38237565755844116,7
Titanic,Your Sister's Sister,0.3770439624786377,8
Titanic,Diary of a Mad Black Woman,0.37382709980010986,9
Titanic,Niagara,0.37147197127342224,10
Captain America: Civil War,Avengers: Age of Ultron,0.6480288505554199,1
Captain America: Civil War,Iron Man 2,0.4682411253452301,2
Captain America: Civil War,Captain America: The Winter Soldier,0.4360162019729614,3
Captain America: Civil War,X-Men: Days of Future Past,0.4030459523200989,4
Captain America: Civil War,The Avengers,0.39539557695388794,5
Captain America: Civil War,Mystery Men,0.3775031864643097,6
Captain America: Civil War,The Incredible Hulk,0.3726716637611389,7
Captain America: Civil War,Thor,0.36110320687294006,8
Captain America: Civil War,Iron Man 3,0.35657963156700134,9
Captain America: Civil War,X-Men,0.35373565554618835,10
Battleship,After Earth,0.5109819173812866,1
Battleship,Spaced Invaders,0.48709583282470703,2
Battleship,Deep Impact,0.4716967046260834,3
Battleship,Space Battleship Yamato,0.4640844464302063,4
Battleship,Men in Black,0.46237513422966003,5
Battleship,The Black Hole,0.45857757329940796,6
Battleship,Armageddon,0.4557588994503021,7
Battleship,Prometheus,0.4512699842453003,8
Battleship,John Carter,0.4457492530345917,9
Battleship,In the Shadow of the Moon,0.44036415219306946,10
Jurassic World,The Lost World: Jurassic Park,0.6193956136703491,1
Jurassic World,Jurassic Park,0.6013447642326355,2
Jurassic World,Walking With Dinosaurs,0.48366740345954895,3
Jurassic World,Sea Rex 3D: Journey to a Prehistoric World,0.41405412554740906,4
Jurassic World,The Good Dinosaur,0.39947715401649475,5
Jurassic World,Night at the Museum,0.3699270486831665,6
Jurassic World,"The Beast from 20,000 Fathoms",0.3469143211841583,7
Jurassic World,Jurassic Park III,0.33461132645606995,8
Jurassic World,Super Mario Bros.,0.3166888356208801,9
Jurassic World,The Land Before Time,0.3079727590084076,10
Skyfall,Spectre,0.590211808681488,1
Skyfall,From Russia with Love,0.5839110016822815,2
Skyfall,Tinker Tailor Soldier Spy,0.5531085133552551,3
Skyfall,Octopussy,0.5484898686408997,4
Skyfall,Never Say Never Again,0.5247520208358765,5
Skyfall,The Living Daylights,0.48975399136543274,6
Skyfall,Die Another Day,0.4829154908657074,7
Skyfall,Safe House,0.48184967041015625,8
Skyfall,A View to a Kill,0.47495388984680176,9
Skyfall,The World Is Not Enough,0.4671497642993927,10
Spider-Man 2,The Amazing Spider-Man 2,0.67536461353302,1
Spider-Man 2,The Amazing Spider-Man,0.6482858061790466,2
Spider-Man 2,Spider-Man 3,0.6019503474235535,3
Spider-Man 2,Spider-Man,0.6016307473182678,4
Spider-Man 2,Tin Can Man,0.48325467109680176,5
Spider-Man 2,Megamind,0.4674547016620636,6
Spider-Man 2,In the Land of Women,0.44224128127098083,7
Spider-Man 2,Batman Begins,0.4295122027397156,8
Spider-Man 2,Superman Returns,0.4177721440792084,9
Spider-Man 2,Super,0.41754665970802307,10
Iron Man 3,Avengers: Age of Ultron,0.6158939003944397,1
Iron Man 3,Iron Man,0.5732833743095398,2
Iron Man 3,Iron Man 2,0.5239951610565186,3
Iron Man 3,Lords of London,0.4677864909172058,4
Iron Man 3,Shinjuku Incident,0.45436933636665344,5
Iron Man 3,Megamind,0.45430323481559753,6
Iron Man 3,The Avengers,0.4531693160533905,7
Iron Man 3,Mad Max: Fury Road,0.4470454752445221,8
Iron Man 3,The Matrix Revolutions,0.43596911430358887,9
Iron Man 3,Captain America: The Winter Soldier,0.43443453311920166,10
Alice in Wonderland,Alice Through the Looking Glass,0.5066980123519897,1
Alice in Wonderland,Escape from Tomorrow,0.5053414702415466,2
Alice in Wonderland,The Christmas Bunny,0.5009340047836304,3
Alice in Wonderland,Aladdin,0.4976731538772583,4
Alice in Wonderland,The Tale of Despereaux,0.4946102499961853,5
Alice in Wonderland,Happily N'Ever After,0.48206937313079834,6
Alice in Wonderland,Blue Jasmine,0.48166418075561523,7
Alice in Wonderland,Mirrormask,0.47856736183166504,8
Alice in Wonderland,Donnie Darko,0.4766930043697357,9
Alice in Wonderland,Enchanted,0.4701097011566162,10
X-Men: The Last Stand,X2,0.7229748368263245,1
X-Men: The Last Stand,X-Men: First Class,0.7129073739051819,2
X-Men: The Last Stand,X-Men: Apocalypse,0.5859678983688354,3
X-Men: The Last Stand,X-Men,0.5688232779502869,4
X-Men: The Last Stand,X-Men Origins: Wolverine,0.5341600775718689,5
X-Men: The Last Stand,X-Men: Days of Future Past,0.49964118003845215,6
X-Men: The Last Stand,Doom,0.4225858747959137,7
X-Men: The Last Stand,Angels & Demons,0.4020579159259796,8
X-Men: The Last Stand,The X Files: I Want to Believe,0.396429181098938,9
X-Men: The Last Stand,The Wolverine,0.39617350697517395,10
Monsters University,Keeping the Faith,0.49307870864868164,1
Monsters University,The Best Man Holiday,0.46685388684272766,2
Monsters University,American Reunion,0.45593997836112976,3
Monsters University,22 Jump Street,0.4444965422153473,4
Monsters University,Phantasm II,0.43365710973739624,5
Monsters University,"Monsters, Inc.",0.4269970953464508,6
Monsters University,Pearl Harbor,0.4194606840610504,7
Monsters University,Swingers,0.39829927682876587,8
Monsters University,A Home at the End of the World,0.3966454565525055,9
Monsters University,Why Did I Get Married?,0.3954939842224121,10
Transformers: Revenge of the Fallen,Transformers,0.805324137210846,1
Transformers: Revenge of the Fallen,Transformers: Dark of the Moon,0.693637490272522,2
Transformers: Revenge of the Fallen,Transformers: Age of Extinction,0.6205883026123047,3
Transformers: Revenge of the Fallen,Megamind,0.4618595838546753,4
Transformers: Revenge of the Fallen,All The Queen's Men,0.42769655585289,5
Transformers: Revenge of the Fallen,Bill & Ted's Bogus Journey,0.41185835003852844,6
Transformers: Revenge of the Fallen,Monkeybone,0.4117698669433594,7
Transformers: Revenge of the Fallen,Austin Powers: The Spy Who Shagged Me,0.402203232049942,8
Transformers: Revenge of the Fallen,Scooby-Doo 2: Monsters Unleashed,0.3963872194290161,9
Transformers: Revenge of the Fallen,Get Smart,0.39294537901878357,10
Transformers: Age of Extinction,Transformers: Revenge of the Fallen,0.6205883026123047,1
Transformers: Age of Extinction,Transformers: Dark of the Moon,0.5920770168304443,2
Transformers: Age of Extinction,Transformers,0.5875811576843262,3
Transformers: Age of Extinction,2001: A Space Odyssey,0.49729031324386597,4
Transformers: Age of Extinction,Terminator Salvation,0.4181683659553528,5
Transformers: Age of Extinction,WALL·E,0.4042305648326874,6
Transformers: Age of Extinction,Independence Day: Resurgence,0.4026898145675659,7
Transformers: Age of Extinction,Transcendence,0.4013606905937195,8
Transformers: Age of Extinction,Angels & Demons,0.3981020748615265,9
Transformers: Age of Extinction,Listening,0.3907417058944702,10
Oz: The Great and Powerful,Legends of Oz: Dorothy's Return,0.5734241604804993,1
Oz: The Great and Powerful,The Wizard of Oz,0.5668402910232544,2
Oz: The Great and Powerful,Raiders of the Lost Ark,0.44799646735191345,3
Oz: The Great and Powerful,The Last Airbender,0.442619264125824,4
Oz: The Great and Powerful,Night at the Museum,0.4380509555339813,5
Oz: The Great and Powerful,Doctor Dolittle,0.43761587142944336,6
Oz: The Great and Powerful,Under the Rainbow,0.4189904034137726,7
Oz: The Great and Powerful,The Illusionist,0.416260302066803,8
Oz: The Great and Powerful,A Simple Wish,0.4109163284301758,9
Oz: The Great and Powerful,The Smurfs,0.4089418351650238,10
The Amazing Spider-Man 2,The Amazing Spider-Man,0.7255027890205383,1
The Amazing Spider-Man 2,Spider-Man 2,0.67536461353302,2
The Amazing Spider-Man 2,Spider-Man,0.6337946653366089,3
The Amazing Spider-Man 2,Spider-Man 3,0.5994118452072144,4
The Amazing Spider-Man 2,Tin Can Man,0.47095808386802673,5
The Amazing Spider-Man 2,Pan,0.4520241320133209,6
The Amazing Spider-Man 2,Hook,0.4437749981880188,7
The Amazing Spider-Man 2,Charlotte's Web,0.43763208389282227,8
The Amazing Spider-Man 2,The Spiderwick Chronicles,0.4247206449508667,9
The Amazing Spider-Man 2,About Time,0.41804835200309753,10
TRON: Legacy,Body of Lies,0.5620183944702148,1
TRON: Legacy,Big Momma's House 2,0.5145867466926575,2
TRON: Legacy,Mission: Impossible,0.5132157802581787,3
TRON: Legacy,Hackers,0.5066462159156799,4
TRON: Legacy,Nowhere to Run,0.5001295208930969,5
TRON: Legacy,Criminal,0.49260419607162476,6
TRON: Legacy,Swordfish,0.4877551198005676,7
TRON: Legacy,Tangled,0.4864324629306793,8
TRON: Legacy,The Golden Child,0.47432181239128113,9
TRON: Legacy,Treasure Planet,0.46509137749671936,10
Cars 2,Cars,0.6666553616523743,1
Cars 2,Need for Speed,0.4750767946243286,2
Cars 2,Speed Racer,0.42804110050201416,3
Cars 2,Free Style,0.4126826226711273,4
Cars 2,Bolt,0.4001728594303131,5
Cars 2,Days of Thunder,0.38298583030700684,6
Cars 2,Getaway,0.3701193034648895,7
Cars 2,I Spy,0.36981162428855896,8
Cars 2,Death Race 2000,0.36792653799057007,9
Cars 2,Spaceballs,0.36255139112472534,10
Green Lantern,Rise of the Guardians,0.4393276572227478,1
Green Lantern,Kick-Ass 2,0.41553962230682373,2
Green Lantern,The Covenant,0.40174442529678345,3
Green Lantern,After Earth,0.39451274275779724,4
Green Lantern,Independence Daysaster,0.3881760537624359,5
Green Lantern,Men in Black II,0.3859969675540924,6
Green Lantern,Fantastic 4: Rise of the Silver Surfer,0.37758946418762207,7
Green Lantern,Fantastic Four,0.3768399953842163,8
Green Lantern,Skyline,0.3764782249927521,9
Green Lantern,Transformers: Age of Extinction,0.373363733291626,10
Toy Story 3,Toy Story,0.7620041370391846,1
Toy Story 3,Toy Story 2,0.7277305126190186,2
Toy Story 3,Gremlins 2: The New Batch,0.47557446360588074,3
Toy Story 3,Elf,0.4544975459575653,4
Toy Story 3,Home Alone 2: Lost in New York,0.4537993371486664,5
Toy Story 3,American Pie 2,0.44442546367645264,6
Toy Story 3,Losin' It,0.4312106668949127,7
Toy Story 3,The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,0.4288409650325775,8
Toy Story 3,The Blues Brothers,0.4233035147190094,9
Toy Story 3,Firestarter,0.41989201307296753,10
Terminator Salvation,Terminator Genisys,0.6163777112960815,1
Terminator Salvation,The Terminator,0.5693415999412537,2
Terminator Salvation,Terminator 3: Rise of the Machines,0.5691383481025696,3
Terminator Salvation,Terminator 2: Judgment Day,0.5345696806907654,4
Terminator Salvation,Rotor DR1,0.47441887855529785,5
Terminator Salvation,9,0.47070154547691345,6
Terminator Salvation,Good Kill,0.4705050587654114,7
Terminator Salvation,Cloud Atlas,0.4655168056488037,8
Terminator Salvation,RoboCop,0.4397163391113281,9
Terminator Salvation,Mutant World,0.4396960735321045,10
Furious 7,Small Apartments,0.4283983111381531,1
Furious 7,Blade Runner,0.39338088035583496,2
Furious 7,The Manchurian Candidate,0.39196741580963135,3
Furious 7,Pet Sematary,0.38922351598739624,4
Furious 7,The Fan,0.3724971413612366,5
Furious 7,The Fast and the Furious,0.3719033896923065,6
Furious 7,The Man from Snowy River,0.3708525598049164,7
Furious 7,The Proposition,0.36951950192451477,8
Furious 7,The Good Heart,0.3671354055404663,9
Furious 7,The Art of War,0.36168181896209717,10
World War Z,Survival of the Dead,0.5846056342124939,1
World War Z,Re-Kill,0.5400691032409668,2
World War Z,ZMD: Zombies of Mass Destruction,0.5282126665115356,3
World War Z,Doomsday,0.5014978051185608,4
World War Z,Warm Bodies,0.5014090538024902,5
World War Z,Land of the Dead,0.48930445313453674,6
